chrome_twohand_sword | 鉻合金雙手巨劍 | weapon
sinister_fist | 邪念之升龍拳套 [1] | weapon
sinister_viollin | 邪念之小提琴 [1] | weapon
giant_shield | 巨人護盾 [1] | armor
ur_seal | 烏魯茲符文印記 [1] | armor
peuz_seal | 珀斯符文印記 [1] | armor
ancient_dagger | 遠古短劍 | weapon
aztoe_nail | 湛青魔短劍 | weapon
scarletto_nail | 猩紅魔短劍 | weapon
face_worm_queen_leg | 人面蟲皇后的腳 [2] | weapon
chrome_sword | 鉻合金單手劍 | weapon
sinister_saber | 邪念之騎兵劍 [1] | weapon
sealed_evil_sword | 封印超能邪劍 [2] | weapon
peuz_plate | 珀斯符文盔甲 | armor
item_16033 | 機器人的機械手臂 [2] | weapon
sinister_mace | 邪念之鐵錘 [1] | weapon
bottle | 酒瓶 [3] | weapon
mystic_bow | 神秘之弓 | weapon
sinister_bow | 邪念之弓 [1] | weapon
bow_of_storm | 風暴之弓 [1] | weapon
giant_blade | 巨人手劍 [1] | weapon
sinister_twohand_sword | 邪念之雙手巨劍 [1] | weapon
sinister_twohand_axe | 邪念之雙手斧 [1] | weapon
sinister_dagger | 邪念之短劍 [1] | weapon
ep172_1h_dagger | 雷士光劍 [2] | weapon
ep172_bh_sword | 希波克里西巨劍 [2] | weapon
sinister_spear | 邪念之長矛 [1] | weapon
poison_forged_spear | 劇毒長槍 [3] | weapon
sinister_lance | 邪念之長矛 [1] | weapon
giant_lance | 巨人戰矛 | weapon
undine_spear | 水精靈之槍 | weapon
snake_encyclopedia | 蛇類百科全集 | weapon
sinister_rod | 邪念之權杖 [1] | weapon
rafini_staff | 拉菲尼之杖 | weapon
staff_of_evil_slayer | 戰勝魔神的杖 [1] | weapon
ru_blue_wand | 戰慄法杖 | weapon
rafini_staff_s | 守護精靈魔杖 [2] | weapon
sinister_wire | 邪念之鐵鞭 [1] | weapon
golden_rod_staff | 黃金領主之杖 [2] | weapon
aqua_staff | 流水之杖 [2] | weapon
crimson_staff | 赤紅之杖 [2] | weapon
forest_staff | 森林之杖 [2] | weapon
golden_rod_staff2 | 黃金領主之杖 II [1] | weapon
aqua_staff2 | 流水之杖 II [1] | weapon
crimson_staff2 | 赤紅之杖 II [1] | weapon
forest_staff2 | 森林之杖 II [1] | weapon
ganbantein | 咖般塔音 | weapon
d_staff_of_infinite | 無限雙手杖 [1] | weapon
sinister_staff | 邪念之法杖 [1] | weapon
probation_staff | 見習大法師魔杖 [1] | weapon
staff_of_miracle | 天降奇蹟法杖 [2] | weapon
gravitation_staff | 萬有引力法杖 [2] | weapon
ein_bhstaff | 感測魔杖 [2] | weapon
r_magician_staff | 皇室魔杖 [2] | weapon
facewormqueen_leg | 人面蟲皇后的腳 [2] | weapon
magical_blade | 魔法血劍 | weapon
ru_blue_sword | 戰慄詭劍 | weapon
racing_c_warlock | 競速頭盔(大法師) [1] | armor
racing_c_rune | 競速頭盔(符文騎士) [1] | armor
racing_c_super | 競速頭盔(超級初學者) [1] | armor
racing_c_star | 競速頭盔(拳聖) [1] | armor
probation_th_sword | 見習符文騎士雙手巨劍 [1] | weapon
staff_of_elder | 長老手杖 [3] | weapon
rutilus_stick_os | 紅魔鬼法杖-OS [2] | weapon
crimson_rose_stick | 碧血玫瑰魔杖 [2] | weapon
ein_1hwand | 焊接魔杖 [2] | weapon
r_magician_wand | 皇室高級魔杖 [2] | weapon
katar_of_evil_slayer | 撕碎魔神的拳刃 [1] | weapon
sinister_katar | 邪念之拳刃 [1] | weapon
meuchler_os | 綠光拳刃-OS [2] | weapon
sinister_book | 邪念之書 [1] | weapon
circuit_board_os | 殺人電路板-OS [2] | weapon
metal_stick | 合金烙印長槍 [3] | weapon
argen_blanco | 複合金十字槍 [2] | weapon
cannonconverter_tw | 加農改造器 [1] | armor
2020maypay_05 | 潛能激發冒險帽 [1] | armor
noblesse_breath_armor | 貴族龍之氣息鎧甲 [1] | armor
noblesse_knight_armor | 貴族致命爆裂鎧甲 [1] | armor
noblesse_crimson_robe | 貴族碧血隕石長袍 [1] | armor
noblesse_frost_robe | 貴族凍僵術長袍 [1] | armor
imperial_breath_armor | 帝國龍之氣息鎧甲 [1] | armor
imperial_knight_armor | 帝國致命爆裂鎧甲 [1] | armor
